rank,team,name,team_gravity,starters_force,bench_force,top3_share_pct,best_player,best_player_force,replacement_fill_min,roster_size
1,OKC,Oklahoma City Thunder,55.1,70.3,43.5,58,Shai Gilgeous-Alexander,92.9,34.6,17
2,NYK,New York Knicks,52.4,61.0,40.5,58,Karl-Anthony Towns,69.9,0.0,19
3,SAS,San Antonio Spurs,52.0,52.8,51.3,46,Victor Wembanyama,87.9,0.0,19
4,DEN,Denver Nuggets,51.5,65.3,38.3,75,Nikola Jokić,97.8,32.4,18
5,BOS,Boston Celtics,50.6,56.2,45.1,51,Jayson Tatum,68.7,9.7,19
6,HOU,Houston Rockets,50.6,57.3,41.8,60,Alperen Şengün,62.2,0.0,20
7,PHI,Philadelphia 76ers,50.4,57.5,43.3,53,Tyrese Maxey,67.3,0.1,19
8,ORL,Orlando Magic,50.3,54.4,45.9,48,Franz Wagner,63.5,0.2,19
9,MIN,Minnesota Timberwolves,50.2,57.6,40.5,58,LaMelo Ball,69.1,20.0,18
10,DET,Detroit Pistons,49.8,57.1,43.4,54,Cade Cunningham,70.3,7.7,19
11,LAL,Los Angeles Lakers,49.6,57.5,41.8,64,Luka Dončić,83.0,7.8,19
12,MIA,Miami Heat,48.8,49.9,47.6,61,Giannis Antetokounmpo,88.8,30.2,16
13,TOR,Toronto Raptors,48.8,53.5,44.1,53,Scottie Barnes,65.8,2.7,19
14,CLE,Cleveland Cavaliers,48.7,58.8,39.4,70,Donovan Mitchell,68.1,46.6,19
15,CHO,Charlotte Hornets,48.2,52.0,44.9,50,Kon Knueppel,63.7,0.2,21
16,PHO,Phoenix Suns,48.2,52.5,44.3,48,Devin Booker,59.3,0.1,20
17,POR,Portland Trail Blazers,48.0,53.4,42.3,52,Deni Avdija,62.6,10.2,20
18,GSW,Golden State Warriors,46.9,50.4,44.2,57,Jimmy Butler,68.2,26.5,18
19,ATL,Atlanta Hawks,46.6,55.6,39.1,55,Jalen Johnson,63.2,0.0,24
20,LAC,LA Clippers,45.6,53.1,38.9,61,Kawhi Leonard,77.3,30.5,19
21,NOP,New Orleans Pelicans,45.4,52.2,38.1,61,Zion Williamson,65.3,2.3,20
22,CHI,Chicago Bulls,45.0,50.2,40.6,52,Josh Giddey,59.5,6.8,21
23,IND,Indiana Pacers,45.0,49.1,41.7,51,Ivica Zubac,57.2,0.0,23
24,MIL,Milwaukee Bucks,45.0,47.1,43.6,43,Tyler Herro,59.0,0.1,22
25,DAL,Dallas Mavericks,44.8,47.1,42.9,49,Cooper Flagg,58.0,0.0,22
26,UTA,Utah Jazz,44.6,46.2,43.6,40,Lauri Markkanen,58.5,0.0,23
27,MEM,Memphis Grizzlies,42.9,45.7,41.5,35,Cameron Boozer,53.6,0.0,32
28,BRK,Brooklyn Nets,41.8,49.0,37.1,60,Michael Porter Jr.,57.9,0.0,22
29,WAS,Washington Wizards,41.8,41.6,41.9,44,AJ Dybantsa,53.4,0.2,24
30,SAC,Sacramento Kings,41.3,43.6,39.4,52,Domantas Sabonis,63.4,33.8,16
